"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2024","1.60","1.67","1.69","1.59","","-3.61%"
"02/02/2024","1.66","1.64","1.68","1.63","","-0.60%"
"02/01/2024","1.67","1.67","1.70","1.64","","-0.60%"
"01/31/2024","1.68","1.61","1.70","1.58","","5.00%"
"01/30/2024","1.60","1.63","1.63","1.59","","-1.84%"
"01/29/2024","1.63","1.62","1.65","1.61","","1.24%"
"01/26/2024","1.61","1.64","1.65","1.59","","-1.23%"
"01/25/2024","1.63","1.61","1.63","1.59","","1.24%"
"01/24/2024","1.61","1.55","1.61","1.55","","2.55%"
"01/23/2024","1.57","1.60","1.60","1.56","","-2.48%"
"01/22/2024","1.61","1.64","1.66","1.60","","-3.59%"
"01/19/2024","1.67","1.69","1.70","1.65","","-2.34%"
"01/18/2024","1.71","1.75","1.77","1.70","","-3.39%"
"01/17/2024","1.77","1.74","1.81","1.72","","3.51%"
"01/16/2024","1.71","1.69","1.75","1.67","","3.64%"
"01/12/2024","1.65","1.64","1.66","1.61","","1.85%"
"01/11/2024","1.62","1.62","1.68","1.60","","-0.61%"
"01/10/2024","1.63","1.64","1.65","1.62","","-1.21%"
"01/09/2024","1.65","1.69","1.71","1.64","","-2.37%"
"01/08/2024","1.69","1.74","1.76","1.67","","-2.31%"
"01/05/2024","1.73","1.80","1.82","1.71","","-3.35%"
"01/04/2024","1.79","1.78","1.80","1.75","","0.00%"
"01/03/2024","1.79","1.73","1.82","1.72","","3.47%"
"01/02/2024","1.73","1.72","1.80","1.71","","0.00%"
"12/29/2023","1.73","1.72","1.77","1.71","","0.58%"
"12/28/2023","1.72","1.72","1.75","1.71","","0.00%"
"12/27/2023","1.72","1.79","1.80","1.72","","-4.44%"
"12/26/2023","1.80","1.84","1.85","1.79","","-2.70%"
"12/22/2023","1.85","1.90","1.92","1.84","","-2.12%"
"12/21/2023","1.89","1.90","1.95","1.88","","-2.58%"
"12/20/2023","1.94","1.82","1.96","1.80","","6.59%"
"12/19/2023","1.82","1.80","1.83","1.80","","1.68%"
"12/18/2023","1.79","1.79","1.80","1.78","","0.00%"
"12/15/2023","1.79","1.73","1.80","1.73","","2.87%"
"12/14/2023","1.74","1.73","1.79","1.72","","0.00%"
"12/13/2023","1.74","1.76","1.79","1.73","","-1.69%"
"12/12/2023","1.77","1.82","1.82","1.75","","-2.75%"
"12/11/2023","1.82","1.85","1.86","1.81","","-2.15%"
"12/08/2023","1.86","1.93","1.93","1.86","","-3.12%"
"12/07/2023","1.92","1.92","1.93","1.90","","0.00%"
"12/06/2023","1.92","1.89","1.93","1.87","","1.05%"
"12/05/2023","1.90","1.94","1.94","1.90","","-1.04%"
"12/04/2023","1.92","1.92","1.98","1.91","","0.52%"
"12/01/2023","1.91","1.91","1.92","1.89","","-0.52%"
"11/30/2023","1.92","1.94","1.96","1.91","","-1.54%"
"11/29/2023","1.95","1.92","1.96","1.90","","1.56%"
"11/28/2023","1.92","1.95","1.96","1.91","","-1.03%"
"11/27/2023","1.94","1.95","1.97","1.93","","0.52%"
"11/24/2023","1.93","2.01","2.02","1.92","","-4.46%"
"11/22/2023","2.02","1.99","2.04","1.97","","1.00%"
"11/21/2023","2.00","2.05","2.07","1.99","","-1.96%"
"11/20/2023","2.04","2.06","2.06","2.02","","-0.97%"
"11/17/2023","2.06","2.09","2.10","2.05","","-1.44%"
"11/16/2023","2.09","2.11","2.14","2.09","","-1.42%"
"11/15/2023","2.12","2.13","2.15","2.11","","-2.30%"
"11/14/2023","2.17","2.18","2.19","2.10","","-0.91%"
"11/13/2023","2.19","2.24","2.25","2.16","","-0.90%"
"11/10/2023","2.21","2.27","2.30","2.19","","-4.33%"
"11/09/2023","2.31","2.21","2.33","2.18","","4.05%"
"11/08/2023","2.22","2.27","2.29","2.21","","-1.77%"
"11/07/2023","2.26","2.31","2.31","2.24","","-0.44%"
"11/06/2023","2.27","2.33","2.34","2.27","","-3.40%"
"11/03/2023","2.35","2.41","2.43","2.33","","-2.08%"
"11/02/2023","2.40","2.49","2.49","2.40","","-3.61%"
"11/01/2023","2.49","2.59","2.64","2.48","","-4.23%"
"10/31/2023","2.60","2.80","2.80","2.59","","-6.81%"
"10/30/2023","2.79","2.94","2.95","2.77","","-7.31%"
"10/27/2023","3.01","2.86","3.02","2.82","","3.44%"
"10/26/2023","2.91","2.95","2.99","2.84","","1.04%"
"10/25/2023","2.88","2.75","2.95","2.69","","6.27%"
"10/24/2023","2.71","2.77","2.84","2.69","","-4.58%"
"10/23/2023","2.84","2.91","3.10","2.74","","-3.40%"
"10/20/2023","2.94","2.92","2.99","2.85","","1.03%"
"10/19/2023","2.91","2.78","2.93","2.69","","4.68%"
"10/18/2023","2.78","2.59","2.81","2.52","","6.51%"
"10/17/2023","2.61","2.58","2.66","2.50","","2.76%"
"10/16/2023","2.54","2.73","2.80","2.53","","-9.93%"
"10/13/2023","2.82","2.49","2.87","2.47","","12.35%"
"10/12/2023","2.51","2.42","2.61","2.37","","2.45%"
"10/11/2023","2.45","2.50","2.59","2.44","","-2.00%"
"10/10/2023","2.50","2.58","2.59","2.46","","-3.47%"
"10/09/2023","2.59","2.75","2.79","2.58","","-1.15%"
"10/06/2023","2.62","2.68","2.82","2.57","","-1.50%"
"10/05/2023","2.66","2.72","2.81","2.65","","-1.12%"
"10/04/2023","2.69","2.93","2.93","2.68","","-5.28%"
"10/03/2023","2.84","2.60","2.88","2.55","","9.65%"
"10/02/2023","2.59","2.50","2.65","2.49","","0.00%"
"09/29/2023","2.59","2.49","2.59","2.42","","2.37%"
"09/28/2023","2.53","2.67","2.69","2.51","","-4.89%"
"09/27/2023","2.66","2.70","2.82","2.65","","-3.97%"
"09/26/2023","2.77","2.61","2.79","2.55","","9.06%"
"09/25/2023","2.54","2.52","2.64","2.49","","0.00%"
"09/22/2023","2.54","2.52","2.55","2.44","","0.00%"
"09/21/2023","2.54","2.36","2.54","2.36","","8.09%"
"09/20/2023","2.35","2.27","2.35","2.21","","3.98%"
"09/19/2023","2.26","2.28","2.33","2.24","","-0.88%"
"09/18/2023","2.28","2.29","2.34","2.24","","-0.44%"
"09/15/2023","2.29","2.20","2.30","2.18","","4.09%"
"09/14/2023","2.20","2.26","2.27","2.20","","-3.08%"
"09/13/2023","2.27","2.32","2.34","2.26","","-1.73%"
"09/12/2023","2.31","2.30","2.34","2.27","","0.00%"
"09/11/2023","2.31","2.32","2.35","2.29","","-2.12%"
"09/08/2023","2.36","2.38","2.45","2.32","","-1.67%"
"09/07/2023","2.40","2.45","2.52","2.39","","-0.41%"
"09/06/2023","2.41","2.38","2.47","2.36","","2.12%"
"09/05/2023","2.36","2.36","2.40","2.33","","0.43%"
"09/01/2023","2.35","2.37","2.37","2.32","","-1.26%"
"08/31/2023","2.38","2.43","2.44","2.37","","-1.65%"
"08/30/2023","2.42","2.51","2.53","2.42","","-3.59%"
"08/29/2023","2.51","2.57","2.60","2.49","","-2.33%"
"08/28/2023","2.57","2.67","2.67","2.57","","-4.10%"
"08/25/2023","2.68","2.81","2.84","2.65","","-4.29%"
"08/24/2023","2.80","2.64","2.81","2.62","","3.70%"
"08/23/2023","2.70","2.75","2.78","2.68","","-3.23%"
"08/22/2023","2.79","2.77","2.83","2.70","","0.72%"
"08/21/2023","2.77","2.86","2.87","2.76","","-3.15%"
"08/18/2023","2.86","2.91","3.03","2.82","","-2.05%"
"08/17/2023","2.92","2.77","2.92","2.73","","4.66%"
"08/16/2023","2.79","2.77","2.80","2.67","","1.82%"
"08/15/2023","2.74","2.59","2.77","2.58","","5.38%"
"08/14/2023","2.60","2.65","2.72","2.58","","-1.52%"
"08/11/2023","2.64","2.73","2.82","2.63","","-3.65%"
"08/10/2023","2.74","2.70","2.83","2.58","","0.00%"
"08/09/2023","2.74","2.74","2.85","2.67","","-0.72%"
"08/08/2023","2.76","2.77","3.02","2.74","","1.47%"
"08/07/2023","2.72","2.81","2.85","2.70","","-4.90%"
"08/04/2023","2.86","2.71","2.88","2.61","","3.62%"
"08/03/2023","2.76","2.80","2.91","2.72","","-0.36%"
"08/02/2023","2.77","2.74","2.84","2.64","","9.06%"
"08/01/2023","2.54","2.51","2.60","2.50","","1.20%"
"07/31/2023","2.51","2.52","2.56","2.50","","-0.79%"
"07/28/2023","2.53","2.60","2.60","2.50","","-3.80%"
"07/27/2023","2.63","2.52","2.69","2.45","","4.78%"
"07/26/2023","2.51","2.57","2.61","2.50","","-2.71%"
"07/25/2023","2.58","2.58","2.59","2.52","","0.00%"
"07/24/2023","2.58","2.63","2.64","2.55","","-1.53%"
"07/21/2023","2.62","2.65","2.65","2.57","","-1.50%"
"07/20/2023","2.66","2.69","2.70","2.62","","-0.37%"
"07/19/2023","2.67","2.60","2.68","2.57","","2.30%"
"07/18/2023","2.61","2.64","2.65","2.58","","-1.14%"
"07/17/2023","2.64","2.65","2.67","2.59","","0.00%"
"07/14/2023","2.64","2.70","2.72","2.63","","-1.49%"
"07/13/2023","2.68","2.64","2.68","2.59","","0.75%"
"07/12/2023","2.66","2.82","2.82","2.65","","-5.67%"
"07/11/2023","2.82","2.81","2.87","2.77","","-1.05%"
"07/10/2023","2.85","2.94","2.95","2.83","","-0.70%"
"07/07/2023","2.87","2.95","3.00","2.82","","-2.05%"
"07/06/2023","2.93","2.83","3.20","2.83","","5.40%"
"07/05/2023","2.78","2.76","2.80","2.74","","1.46%"
"07/03/2023","2.74","2.74","2.78","2.73","","-0.36%"
"06/30/2023","2.75","2.80","2.80","2.73","","-2.14%"
"06/29/2023","2.81","2.74","2.82","2.74","","2.18%"
"06/28/2023","2.75","2.84","2.87","2.74","","-3.51%"
"06/27/2023","2.85","2.91","2.92","2.79","","-2.40%"
"06/26/2023","2.92","2.91","2.97","2.86","","0.00%"
"06/23/2023","2.92","2.91","3.00","2.89","","1.04%"
"06/22/2023","2.89","2.98","3.02","2.87","","-2.36%"
"06/21/2023","2.96","3.04","3.04","2.95","","-1.99%"
