Time,Open,High,Low,Close,Volume
2005-10-24T05:00:00+0000,15.58,15.72,15.09,15.14,76
2005-10-25T05:00:00+0000,14.93,14.93,14.85,14.92,22
2005-10-26T05:00:00+0000,14.7,14.7,14.7,14.7,0
2005-10-27T05:00:00+0000,14.9,14.99,14.9,14.94,8
2005-10-28T05:00:00+0000,15.02,15.13,14.81,14.85,117
2005-10-31T06:00:00+0000,14.67,14.67,14.39,14.53,30
2005-11-01T06:00:00+0000,14.62,14.63,14.5,14.58,14
2005-11-02T06:00:00+0000,14.6,14.6,14.14,14.18,20
2005-11-03T06:00:00+0000,14.02,14.02,13.41,13.65,53
2005-11-04T06:00:00+0000,13.5,13.65,13.49,13.56,7
2005-11-07T06:00:00+0000,13.65,13.65,13.5,13.5,45
2005-11-08T06:00:00+0000,13.41,13.56,13.41,13.56,10
2005-11-09T06:00:00+0000,13.35,13.35,13.35,13.35,114
2005-11-10T06:00:00+0000,13.19,13.36,13.1,13.1,2
2005-11-11T06:00:00+0000,12.9,12.9,12.67,12.7,30
2005-11-14T06:00:00+0000,12.78,12.92,12.61,12.87,357
2005-11-15T06:00:00+0000,12.85,12.9,12.65,12.8,235
2005-11-16T06:00:00+0000,12.8,12.84,12.75,12.76,48
2005-11-17T06:00:00+0000,12.54,12.61,12.4,12.42,94
2005-11-18T06:00:00+0000,12.32,12.32,11.95,12.05,292
2005-11-21T06:00:00+0000,12.08,12.2,12.02,12.08,299
2005-11-22T06:00:00+0000,11.96,12.1,11.93,12.01,258
2005-11-23T06:00:00+0000,12.05,12.05,11.82,11.94,43
2005-11-25T06:00:00+0000,12.02,12.02,11.96,11.96,2
2005-11-28T06:00:00+0000,12.0,12.13,11.98,12.06,74
2005-11-29T06:00:00+0000,11.93,12.14,11.92,12.11,34
2005-11-30T06:00:00+0000,12.13,12.19,12.07,12.19,21
2005-12-01T06:00:00+0000,12.05,12.05,11.99,12.03,110
2005-12-02T06:00:00+0000,12.0,12.0,11.77,11.77,41
2005-12-05T06:00:00+0000,11.67,11.93,11.67,11.83,38
2005-12-06T06:00:00+0000,11.74,11.81,11.61,11.81,60
2005-12-07T06:00:00+0000,11.8,12.29,11.8,12.15,151
2005-12-08T06:00:00+0000,12.24,12.24,12.0,12.15,57
2005-12-09T06:00:00+0000,12.03,12.04,11.98,12.01,40
2005-12-12T06:00:00+0000,11.97,12.08,11.96,11.96,22
2005-12-13T06:00:00+0000,11.98,11.98,11.63,11.68,133
2005-12-14T06:00:00+0000,11.53,11.53,11.33,11.33,60
2005-12-15T06:00:00+0000,11.23,11.24,11.09,11.16,142
2005-12-16T06:00:00+0000,10.97,11.02,10.9,11.02,33
2005-12-19T06:00:00+0000,10.97,11.11,10.85,11.11,136
2005-12-20T06:00:00+0000,11.15,11.27,11.02,11.15,301
2005-12-21T06:00:00+0000,10.18,10.18,10.18,10.18,0
