Time,Open,High,Low,Close,Volume
2008-09-02T05:00:00+0000,22.33,23.33,22.33,23.16,65
2008-09-03T05:00:00+0000,23.29,23.42,23.07,23.2,128
2008-09-04T05:00:00+0000,23.5,24.24,23.5,24.03,641
2008-09-05T05:00:00+0000,24.25,24.37,23.5,23.56,342
2008-09-08T05:00:00+0000,22.26,23.62,22.26,23.18,295
2008-09-09T05:00:00+0000,23.48,24.15,23.28,24.09,101
2008-09-10T05:00:00+0000,23.75,24.05,23.63,23.79,449
2008-09-11T05:00:00+0000,24.36,24.36,23.66,23.68,303
2008-09-12T05:00:00+0000,24.1,24.27,23.77,23.97,805
2008-09-15T05:00:00+0000,25.47,25.5,23.81,24.73,788
2008-09-16T05:00:00+0000,25.3,25.5,24.15,24.49,833
2008-09-17T05:00:00+0000,24.82,25.65,24.55,25.44,1738
2008-09-18T05:00:00+0000,25.48,26.0,24.3,24.65,1546
2008-09-19T05:00:00+0000,24.0,24.48,23.82,24.2,596
2008-09-22T05:00:00+0000,24.02,25.47,23.91,25.11,1584
2008-09-23T05:00:00+0000,25.0,26.21,24.99,25.94,1821
2008-09-24T05:00:00+0000,25.43,26.2,25.43,25.61,1948
2008-09-25T05:00:00+0000,25.38,25.48,24.54,25.12,1509
2008-09-26T05:00:00+0000,25.77,25.77,25.1,25.17,739
2008-09-29T05:00:00+0000,25.55,28.49,25.55,28.03,6933
2008-09-30T05:00:00+0000,27.1,27.25,26.3,26.68,1495
2008-10-01T05:00:00+0000,26.61,27.35,26.61,27.04,534
2008-10-02T05:00:00+0000,27.24,28.41,27.24,28.24,881
2008-10-03T05:00:00+0000,27.6,28.62,27.35,28.56,673
2008-10-06T05:00:00+0000,28.85,31.15,28.77,29.32,926
2008-10-07T05:00:00+0000,28.94,30.78,27.67,30.43,266
2008-10-08T05:00:00+0000,31.5,31.59,29.5,31.21,941
2008-10-09T05:00:00+0000,30.31,33.98,30.02,33.38,1866
2008-10-10T05:00:00+0000,34.94,36.77,32.09,33.79,1588
2008-10-13T05:00:00+0000,32.68,32.68,31.2,31.78,694
2008-10-14T05:00:00+0000,30.4,33.1,30.25,32.24,513
2008-10-15T05:00:00+0000,33.24,40.59,33.24,35.55,1295
2008-10-16T05:00:00+0000,35.6,38.7,35.07,35.47,1341
2008-10-17T05:00:00+0000,36.35,37.9,35.43,37.28,2048
2008-10-20T05:00:00+0000,36.03,37.0,34.8,34.8,1261
2008-10-21T05:00:00+0000,35.7,37.9,35.51,36.93,1658
2008-10-22T05:00:00+0000,39.39,40.97,38.5,39.71,723
2008-10-23T05:00:00+0000,39.25,41.97,38.85,40.14,1358
2008-10-24T05:00:00+0000,44.95,44.97,42.0,43.56,702
2008-10-27T05:00:00+0000,42.95,45.5,42.26,44.88,1233
2008-10-28T05:00:00+0000,44.2,45.92,42.6,42.77,898
2008-10-29T05:00:00+0000,43.0,45.05,42.89,44.16,931
2008-10-30T05:00:00+0000,43.0,45.1,42.75,44.2,352
2008-10-31T05:00:00+0000,44.75,45.65,44.04,44.93,490
2008-11-03T06:00:00+0000,45.0,45.0,43.3,44.71,522
2008-11-04T06:00:00+0000,43.38,43.9,40.67,41.86,1211
2008-11-05T06:00:00+0000,42.2,44.46,42.2,43.85,639
2008-11-06T06:00:00+0000,44.71,49.02,44.02,47.8,2313
2008-11-07T06:00:00+0000,47.59,49.01,46.36,47.48,995
2008-11-10T06:00:00+0000,45.52,49.47,45.52,48.2,352
2008-11-11T06:00:00+0000,50.5,51.81,48.8,49.38,653
2008-11-12T06:00:00+0000,50.1,53.91,50.1,52.92,700
2008-11-13T06:00:00+0000,50.12,55.2,49.9,50.03,822
2008-11-14T06:00:00+0000,52.42,53.95,50.49,53.51,933
2008-11-17T06:00:00+0000,53.0,56.86,53.0,56.25,1593
2008-11-18T06:00:00+0000,56.75,60.95,55.81,57.29,2670
2008-11-19T06:00:00+0000,58.24,63.6,57.7,62.9,1725
2008-11-20T06:00:00+0000,64.1,67.89,62.65,66.23,1361
2008-11-21T06:00:00+0000,65.86,67.29,62.58,62.78,1252
2008-11-24T06:00:00+0000,61.77,61.77,57.26,58.64,2299
2008-11-25T06:00:00+0000,56.75,60.43,56.59,57.18,848
2008-11-26T06:00:00+0000,57.59,57.98,52.92,53.18,1842
2008-11-28T06:00:00+0000,52.75,54.5,52.0,53.21,257
2008-12-01T06:00:00+0000,55.51,60.71,55.51,60.45,868
2008-12-02T06:00:00+0000,60.0,60.27,57.5,57.93,684
2008-12-03T06:00:00+0000,59.75,60.3,57.0,57.73,532
2008-12-04T06:00:00+0000,58.0,61.05,57.29,60.49,741
2008-12-05T06:00:00+0000,61.47,64.62,58.32,58.32,1273
2008-12-08T06:00:00+0000,56.0,56.45,54.8,55.26,1523
2008-12-09T06:00:00+0000,55.9,56.55,54.65,56.4,974
2008-12-10T06:00:00+0000,55.1,56.43,54.65,55.26,1275
2008-12-11T06:00:00+0000,56.0,56.0,52.0,55.06,1938
2008-12-12T06:00:00+0000,57.19,58.33,54.35,54.58,1542
2008-12-15T06:00:00+0000,54.5,57.0,54.5,55.7,1162
2008-12-16T06:00:00+0000,55.9,56.0,51.66,52.44,9271
2008-12-17T06:00:00+0000,51.29,51.29,51.29,51.29,0
