rank,ticker,med_vol,med_px,cover,asof
1,NVDA,2853041.0,195.26,1.0,2026-07-17
2,TSLA,2615223.5,403.11,1.0,2026-07-17
3,AAPL,948348.5,272.54499999999996,1.0,2026-07-17
4,MSFT,752578.5,403.67,1.0,2026-07-17
5,AMZN,684465.5,239.14,1.0,2026-07-17
6,MU,610852.5,456.73,1.0,2026-07-17
7,INTC,586304.0,65.225,1.0,2026-07-17
8,PLTR,540516.5,137.885,1.0,2026-07-17
9,META,495133.0,621.73,1.0,2026-07-17
10,AMD,468690.5,267.315,1.0,2026-07-17
11,MSTR,413909.0,136.16500000000002,1.0,2026-07-17
12,NFLX,387838.0,87.14,1.0,2026-07-17
13,GOOGL,382868.0,337.71000000000004,1.0,2026-07-17
14,SOFI,345216.0,17.815,1.0,2026-07-17
15,ORCL,293536.5,160.1,1.0,2026-07-17
16,AVGO,258292.5,371.16499999999996,1.0,2026-07-17
17,IREN,258288.5,45.81999999999999,1.0,2026-07-17
18,HOOD,253271.0,80.74000000000001,1.0,2026-07-17
19,SMCI,223641.0,30.67,1.0,2026-07-17
20,GOOG,191724.0,337.02,1.0,2026-07-17
21,CRWV,188594.0,96.31,1.0,2026-07-17
22,ONDS,184921.5,9.83,1.0,2026-07-17
23,MARA,181678.5,11.065,1.0,2026-07-17
24,COIN,170288.5,181.07999999999998,1.0,2026-07-17
25,NOK,167495.0,10.3,1.0,2026-07-17
26,SNDK,164003.0,965.7850000000001,0.9206349206349206,2026-07-17
27,ASTS,149362.5,87.205,1.0,2026-07-17
28,GME,146314.5,23.08,1.0,2026-07-17
29,WULF,143526.0,19.39,1.0,2026-07-17
30,TSM,139744.5,375.95500000000004,1.0,2026-07-17
31,BABA,136289.5,132.07,1.0,2026-07-17
32,BMNR,134573.5,20.325000000000003,1.0,2026-07-17
33,BAC,129540.5,52.545,1.0,2026-07-17
34,MRVL,129073.5,134.215,1.0,2026-07-17
35,NBIS,127146.5,144.965,1.0,2026-07-17
36,HIMS,120876.0,26.015,1.0,2026-07-17
37,RKLB,118370.5,80.58500000000001,1.0,2026-07-17
38,RIVN,109235.5,15.535,1.0,2026-07-17
39,NOW,108459.5,104.19,1.0,2026-07-17
40,AAL,106674.5,13.35,1.0,2026-07-17
41,PFE,101986.5,26.465,1.0,2026-07-17
42,WMT,98004.0,123.65,1.0,2026-07-17
43,F,93585.0,13.58,1.0,2026-07-17
44,CRCL,91507.5,90.195,1.0,2026-07-17
45,CIFR,91238.0,17.905,1.0,2026-07-17
46,NIO,87644.0,5.285,1.0,2026-07-17
47,NKE,86227.0,45.56,1.0,2026-07-17
48,APLD,84369.0,34.065,1.0,2026-07-17
49,CORZ,82951.0,19.525,1.0,2026-07-17
50,PYPL,80693.5,45.215,1.0,2026-07-17
51,XOM,79884.0,149.44,1.0,2026-07-17
52,SNAP,78897.0,5.255,1.0,2026-07-17
53,UNH,74643.5,346.88,1.0,2026-07-17
54,UBER,71066.0,73.91499999999999,1.0,2026-07-17
55,BE,70179.0,208.96,1.0,2026-07-17
56,CRM,69723.5,184.64499999999998,1.0,2026-07-17
57,RIOT,69312.0,17.485,1.0,2026-07-17
58,BA,67766.5,224.115,1.0,2026-07-17
59,NVO,66449.0,44.015,1.0,2026-07-17
60,IONQ,65899.5,43.735,1.0,2026-07-17
61,EOSE,65467.5,6.779999999999999,1.0,2026-07-17
62,RGTI,63925.5,17.695,1.0,2026-07-17
63,QCOM,60303.5,152.87,1.0,2026-07-17
64,ARM,59473.5,161.775,1.0,2026-07-17
65,JPM,58297.0,307.39,1.0,2026-07-17
66,OKLO,58227.5,63.02,1.0,2026-07-17
67,OXY,57985.0,54.915000000000006,1.0,2026-07-17
68,WBD,56997.5,27.25,1.0,2026-07-17
69,CLSK,56722.5,12.379999999999999,1.0,2026-07-17
70,FCX,56522.0,61.97,1.0,2026-07-17
71,CVNA,56443.5,314.56,1.0,2026-07-17
72,C,56137.5,124.535,1.0,2026-07-17
73,VZ,55172.5,47.155,1.0,2026-07-17
74,SMR,54891.0,11.98,1.0,2026-07-17
75,SOUN,54665.5,7.84,1.0,2026-07-17
76,CCL,54462.0,27.58,1.0,2026-07-17
77,T,51920.0,25.615000000000002,1.0,2026-07-17
78,BULL,50643.0,6.605,1.0,2026-07-17
79,QBTS,48809.0,20.564999999999998,1.0,2026-07-17
80,PATH,47657.0,11.055,1.0,2026-07-17
81,DELL,46617.0,191.44,1.0,2026-07-17
82,WFC,46534.0,82.055,1.0,2026-07-17
83,CSCO,46494.5,86.27000000000001,1.0,2026-07-17
84,PBR,46423.5,18.085,1.0,2026-07-17
85,ADBE,46228.5,247.39,1.0,2026-07-17
86,TTD,45597.5,22.725,1.0,2026-07-17
