universe,signal,target,decile,mean,n,sharpe_tr,sharpe_yr,win%
clean liquid ETFs,f_ivrv,y_margin,0,-0.2909606695175171,29748.0,-0.05425628647208214,-0.1879492849111557,63.79924700820223
clean liquid ETFs,f_ivrv,y_margin,1,-0.19163115322589874,27441.0,-0.03874748945236206,-0.13422523438930511,65.33654021354907
clean liquid ETFs,f_ivrv,y_margin,2,-0.13556818664073944,26964.0,-0.027916690334677696,-0.09670624881982803,66.94481530930129
clean liquid ETFs,f_ivrv,y_margin,3,-0.11186479032039642,27344.0,-0.023241955786943436,-0.08051249384880066,67.14452896430662
clean liquid ETFs,f_ivrv,y_margin,4,-0.02092946507036686,27894.0,-0.004727198742330074,-0.016375496983528137,68.08991180899118
clean liquid ETFs,f_ivrv,y_margin,5,-0.020054897293448448,26413.0,-0.004043974447995424,-0.014008738100528717,68.30348691932004
clean liquid ETFs,f_ivrv,y_margin,6,0.07027149200439453,26896.0,0.01603473722934723,0.05554595962166786,69.25936942296252
clean liquid ETFs,f_ivrv,y_margin,7,0.09294342994689941,27412.0,0.021052496507763863,0.07292798906564713,69.9438202247191
clean liquid ETFs,f_ivrv,y_margin,8,0.17766880989074707,26993.0,0.04064030200242996,0.14078213274478912,71.39628792649945
clean liquid ETFs,f_ivrv,y_margin,9,0.3414595425128937,29270.0,0.08492029458284378,0.2941725254058838,73.73078237102835
single names,f_ivrv,y_margin,0,-0.002679872792214155,260426.0,-0.0001800485624698922,-0.0006237064953893423,68.55959082426486
single names,f_ivrv,y_margin,1,-0.010474635288119316,258002.0,-0.0016900721238926053,-0.005854581482708454,66.27816838629158
single names,f_ivrv,y_margin,2,-0.060982104390859604,257541.0,-0.00964704342186451,-0.03341833874583244,65.73244648424911
single names,f_ivrv,y_margin,3,-0.021532323211431503,258002.0,-0.003524608677253127,-0.012209602631628513,66.418864970039
single names,f_ivrv,y_margin,4,0.013938412070274353,258493.0,0.0022595576010644436,0.0078273368999362,67.21033064725157
single names,f_ivrv,y_margin,5,0.06507091969251633,257065.0,0.010789185762405396,0.0373748354613781,67.64981619434774
single names,f_ivrv,y_margin,6,0.1087472066283226,257502.0,0.01804231107234955,0.06250039488077164,67.87869608779738
single names,f_ivrv,y_margin,7,0.2041066735982895,258041.0,0.033105794340372086,0.11468183249235153,68.64335512573582
single names,f_ivrv,y_margin,8,0.39705532789230347,257502.0,0.06455619633197784,0.22362922132015228,70.04450450870284
single names,f_ivrv,y_margin,9,0.9969163537025452,259934.0,0.13927483558654785,0.48246216773986816,73.75179853347387
clean liquid ETFs,f_ivpct,y_margin,0,-0.0661979541182518,29082.0,-0.013684057630598545,-0.047402966767549515,67.4334639983495
clean liquid ETFs,f_ivpct,y_margin,1,0.03225443512201309,26841.0,0.006465988699346781,0.02239884063601494,68.94303490928057
clean liquid ETFs,f_ivpct,y_margin,2,0.07706703245639801,26380.0,0.018768882378935814,0.06501731276512146,68.27141774071266
clean liquid ETFs,f_ivpct,y_margin,3,0.07677638530731201,26745.0,0.018913591280579567,0.06551860272884369,68.13610020564592
clean liquid ETFs,f_ivpct,y_margin,4,0.060941364616155624,27284.0,0.0149579718708992,0.0518159344792366,68.51634657674828
clean liquid ETFs,f_ivpct,y_margin,5,0.09879962354898453,25840.0,0.02531353197991848,0.08768864721059799,68.93575851393189
clean liquid ETFs,f_ivpct,y_margin,6,0.060960523784160614,26313.0,0.013666806742548943,0.04734320566058159,69.17873294569225
clean liquid ETFs,f_ivpct,y_margin,7,0.09407111257314682,26812.0,0.024585019797086716,0.08516500890254974,68.46561241235268
clean liquid ETFs,f_ivpct,y_margin,8,0.09919735789299011,26409.0,0.02496727928519249,0.08648919314146042,68.65083872922109
clean liquid ETFs,f_ivpct,y_margin,9,0.13645298779010773,28620.0,0.03088904358446598,0.10700278729200363,69.03563941299791
clean liquid ETFs,f_ffr,y_margin,0,0.2978634238243103,29748.0,0.06765871495008469,0.23437665402889252,72.31746672045179
clean liquid ETFs,f_ffr,y_margin,1,0.07604718208312988,27441.0,0.01613643206655979,0.055898237973451614,69.9282096133523
clean liquid ETFs,f_ffr,y_margin,2,0.035182006657123566,26964.0,0.0071385581977665424,0.024728691205382347,69.51490876724522
clean liquid ETFs,f_ffr,y_margin,3,0.0310510341078043,27344.0,0.006725723389536142,0.023298589512705803,69.07913984786424
clean liquid ETFs,f_ffr,y_margin,4,0.019429175183176994,27894.0,0.004384283442050219,0.015187603421509266,68.39463683946369
clean liquid ETFs,f_ffr,y_margin,5,0.000975821225438267,26413.0,0.0002161927695851773,0.0007489137351512909,67.85673721273615
clean liquid ETFs,f_ffr,y_margin,6,-0.016695456579327583,26896.0,-0.003756569232791662,-0.013013137504458427,68.25178465199286
clean liquid ETFs,f_ffr,y_margin,7,-0.10289903730154037,27412.0,-0.021640775725245476,-0.07496584206819534,67.36830585145192
clean liquid ETFs,f_ffr,y_margin,8,-0.12048923224210739,26993.0,-0.027563845738768578,-0.09548395872116089,66.67654577112584
clean liquid ETFs,f_ffr,y_margin,9,-0.3178936541080475,29270.0,-0.0587022565305233,-0.20335057377815247,64.396993508712
