Symbol,Name,Latest,"Wkly Opts","Options Vol","Total OI"
AGQ,"Ultra Silver 2X ETF",112.22,Yes,7547,112989
AMDL,"GraniteShares 2X Long AMD Daily ETF",68.2,Yes,10891,84292
ARKG,"Ark Genomic Revolution ETF",34.75,Yes,2707,194826
ARKK,"Ark Innovation ETF",81.26,Yes,37219,678520
ASHR,"Xt Harvest CSI 300 China A-Shares ETF",35.48,Yes,10428,818649
BITO,"Proshares Bitcoin Strategy ETF",9.74,Yes,12367,262472
BITX,"Volatility 2X Bitcoin Strategy ETF",15.81,Yes,19711,204672
BKLN,"Invesco Senior Loan ETF",20.51,Yes,576,469827
BNO,"US Brent Oil",52.49,Yes,59940,338922
BOIL,"Ultra Bloomberg Natural Gas 2X ETF",28.1,Yes,6991,131552
COPX,"GX Copper Miners ETF",90.06,Yes,13947,314873
DIA,"Dow Industrials SPDR",511.44,Yes,41858,617309
DPST,"Direxion Daily Regional Banks Bull 3X ETF",108.12,Yes,2766,30307
DRAM,"Roundhill Memory ETF",68,Yes,264599,1087340
EEM,"Emrg Mkts Ishares MSCI ETF",70.08,Yes,85821,6016770
EFA,"EAFE Ishares MSCI ETF",104.44,Yes,26706,1456165
ETH,"Grayscale Ethereum Staking Mini ETF",19.01,Yes,1447,35137
ETHA,"Ishares Ethereum Trust ETF",15.11,Yes,102996,1395003
ETHE,"Grayscale Ethereum Staking ETF",16.21,Yes,445,53425
ETHU,"Volatility Shares 2X Ether ETF",19.45,Yes,7681,89472
EWJ,"Japan Ishares MSCI ETF",92.93,Yes,2324,122048
EWY,"South Korea Ishares MSCI ETF",216.7,Yes,144988,1055562
EWZ,"Brazil Ishares MSCI ETF",35.67,Yes,98388,4978480
FAS,"Financial Bull 3X ETF",130.76,Yes,4299,51260
FBTC,"Fidelity Wise Origin Bitcoin Fund",62.2,Yes,3269,121815
FEZ,"Euro Stoxx 50 ETF SPDR",67.93,Yes,11284,133899
FXI,"China Largecap Ishares ETF",35.34,Yes,63050,4394941
GBTC,"Grayscale Bitcoin Trust ETF",55.48,Yes,4027,53020
GDX,"Vaneck Gold Miners ETF",86.68,Yes,75273,1942072
GDXJ,"Vaneck Junior Gold Miners ETF",114.95,Yes,6524,161973
GLD,"Gold SPDR",411.26,Yes,193663,4668184
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",79.84,Yes,295220,8245265
IAU,"Gold Trust Ishares",84.27,Yes,8643,140293
IBIT,"Ishares Bitcoin Trust ETF",40.49,Yes,543704,6251103
ICLN,"Global Clean Energy Ishares ETF",23.04,Yes,2042,52535
IEF,"7-10 Year Treasury Bond Ishares ETF",94.17,Yes,6066,795857
IGV,"North American Tech-Software Ishares ETF",107.7,Yes,338499,1789821
IVV,"S&P 500 Ishares Core ETF",762.02,Yes,374,20670
IWM,"Russell 2000 Ishares ETF",288.98,Yes,1626400,10228772
IYR,"US Real Estate Ishares ETF",99.6,Yes,4647,164478
JETS,"US Global Jets ETF",28.93,Yes,12006,261831
KOLD,"Ultrashort Bloomberg Natural Gas -2X ETF",22.92,Yes,7286,61987
KRE,"S&P Regional Banking ETF SPDR",68.31,Yes,28030,1979271
KWEB,"KS CSI China Internet ETF",27.36,Yes,92954,3477287
LABD,"Direxion Daily S&P Biotech Bear 3X ETF",13.62,Yes,1590,24964
LABU,"Direxion Daily S&P Biotech Bull 3X ETF",181.67,Yes,4371,23870
LQD,"Invst Grade Corp Bond Ishares Iboxx $ ETF",108.93,Yes,33495,1549514
MAGS,"Roundhill Magnificent Seven ETF",69.86,Yes,4245,68286
METU,"Direxion Daily META Bull 2X ETF",23.7,Yes,19467,46022
MSOS,"Advisorshares Pure US Cannabis ETF",5.11,Yes,26025,578846
MSTU,"T-Rex 2X Long Mstr Daily Target ETF",5.41,Yes,22516,243150
MSTX,"Defiance Daily Target 1.75X Long Mstr ETF",24.74,Yes,4465,182048
MSTZ,"T-Rex 2X Inverse Mstr Daily Target ETF",6.76,Yes,821,27751
NAIL,"Direxion Daily Homebuilders Bull 3X ETF",38.42,Yes,5888,61179
NUGT,"Direxion Daily Gold Miners Bull 2X ETF",160.59,Yes,3663,28366
NVDL,"GraniteShares 2X Long NVDA Daily ETF",115.38,Yes,29444,160000
NVDX,"T-Rex 2X Long Nvidia Daily Target ETF",21.91,Yes,9203,63508
